figure,type,caption_short,source_file,status
Figure_1_overall_computational_workflow.png,main,Overall computational workflow,computational_workflow_for_ligand_prioritization.png,included
Figure_2_target_conditioned_molecular_GNN_architecture.png,main,Target-conditioned molecular GNN architecture,target_conditioned_molecular_gnn_diagram.png,included
Figure_3_3D_interaction_graph_construction.png,main,3D protein-ligand interaction graph construction,wide_infographic_diagram_on_a_white_background_wit.png,included
Figure_4_docking_contact_score_comparison.png,main,Docking and contact-score comparison,scientific_analysis_of_binding_affinities.png,included
Figure_5_GNN_prediction_performance.png,main,Molecular GNN prediction performance,scatter_plot_comparison_of_paffinity_models.png,included
Figure_6_molecular_GNN_attribution_maps.png,main,Molecular GNN attribution maps,molecular_attribution_heatmap_figure_layout.png,included
Figure_7_3D_representative_interaction_visualization.png,main,3D representative interaction visualization,a_high_resolution_scientific_figure_layout_white.png,included
Figure_S1_residue_contact_frequency_matrix.png,supplementary,Full residue-contact frequency matrix,heatmap_of_kinase_residue_interactions.png,included
Figure_S2_Maca1_Maca2_contact_shift_map.png,supplementary,Maca-1 versus Maca-2 contact shift map,heatmap_analysis_of_contact_shifts.png,included
Figure_S3_molecular_interaction_maps.png,supplementary,Molecular interaction maps,molecular_interaction_maps_of_maca_1_and_maca_2.png,included
Figure_S4_interaction_type_composition.png,supplementary,Interaction type composition,interaction_composition_across_maca_conditions.png,included
Figure_S5_applicability_domain_Tanimoto_plot.png,supplementary,Applicability-domain Tanimoto similarity plot,scatter_plot_of_tanimoto_similarities.png,included
Figure_S6_functional_region_ablation_heatmap.png,supplementary,Functional-region ablation heatmap,heatmap_of_ablation_effect_on_pic50.png,included
Figure_S7_MCS_unique_fragment_comparison.png,supplementary,MCS and unique-fragment comparison,chemical_structure_comparison_maca_1_vs_maca_2.png,included
Figure_S8_3D_graph_hotspot_summary.png,supplementary,3D graph score and residue hotspot summary,scientific_heatmap_of_protein_hotspots.png,included
