ligand,class,formula,exact_MW,mol_weight,cLogP,TPSA_A2,HBD,HBA,rotatable_bonds,ring_count,OH_count,O_methyl_count
Maca-1,main hydroxyl-rich,C25H24O6,420.1573,420.461,5.2697,100.13,3,6,3,4,3,0
Maca-2,main O-methylated,C26H26O6,434.1729,434.488,5.5727,89.13,2,6,4,4,2,1
Erlotinib,EGFR positive control,C22H23N3O4,393.1689,393.443,3.4051,74.73,1,7,10,3,0,2
Lapatinib,HER2 positive control,C29H26ClFN4O4S,580.1347,581.069,6.1391,106.35,2,8,11,5,0,0
Sorafenib,VEGFR2 positive control,C21H16ClF3N4O3,464.0863,464.831,5.5497,92.35,3,4,5,3,0,0
Quercetin,flavonoid comparator,C15H10O7,302.0427,302.238,1.988,131.36,5,7,1,3,5,0
Kaempferol,flavonoid comparator,C15H10O6,286.0477,286.239,2.2824,111.13,4,6,1,3,4,0
Apigenin,flavonoid comparator,C15H10O5,270.0528,270.24,2.5768,90.9,3,5,1,3,3,0
Luteolin,flavonoid comparator,C15H10O6,286.0477,286.239,2.2824,111.13,4,6,1,3,4,0
Amentoflavone,biflavonoid comparator,C30H18O11,554.0849,554.463,4.8396,202.03,7,11,3,6,7,0
